class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,based_on_label
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka,,,,,,,,,,,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/gSpQjJMRbo9y,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Alexandre Fessy,,,,,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,has_version,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88621,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,title,,,,,,,,,,,,,Polka sur le Val D'Andorre d'Halevy: pour piano,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,instrumentation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,
Manifestation,Polka sur le Val D'Andorre d'Halevy,,,Polka sur le Val D'Andorre d'Halevy,Polka sur le Val D'Andorre d'Halevy.md,PnWGQzxqsYz8,449462810242294936059,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Vrznz6W5khox,Le val d'Andorre
