class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,described_by_source_value,inception_value,location_value,dissolved_value,contributor_value,official_website_value,identifier_value,country_value,member_value
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5NQHQagvNUif,catalogue,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,described_by_source,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,inception,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,location,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,dissolved,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,contributor,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,official_website,,,,,,,,https://everist.eu/interventions/data/women-pianos-and-the-parisian-periodical-press-1850-1875/,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,identifier,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,country,,,,,,,,,,,
Organisation,"Women, Pianos, and the Parisian Periodical Press, 1850-1875",,,"Women, Pianos, and the Parisian Periodical Press, 1850-1875","Women, Pianos, and the Parisian Periodical Press, 1850-1875.md",XfLx7jGjFr7V,611956684841328023676,member,,,,,,,,,,,
