class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,depicts_label,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1867-09,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PEzYptShKCkg,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",S. de Lisle,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jJR8QbUjykJp,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Olympe Caroline d'Oultremont,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012395759706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1867.0,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,title,,,,,,,,,,,,,,Edeghem : polka par mademoiselle S. De Lisle.,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ebx8kqGPPPEV,Edeghem,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Edeghem. Polka,,,Edeghem. Polka,Edeghem. Polka.md,5SosSSU8etaH,70887823207153295502,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka
