class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,1853.0,10.0,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VcpJBubpN5Jf,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Louis Bordèse,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2YakjmMCnSKo,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Édouard Plouvier,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:13225458,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1853.0,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,title,,,,,,,,,,,,,,,Frère et soeur : opera comique et un acte,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,5.0,voice,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bogx9ECia7TM,operetta
Manifestation,Frère et soeur. Opera comique et un acte,,,Frère et soeur. Opera comique et un acte,Frère et soeur. Opera comique et un acte.md,R7b4nrbTGyCv,476645772981952459936,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/GFGuESLqMKpn,chamber opera
