class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,1861.0,18.0,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2jgpRvqzUYNF,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Augustin Challamel,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4cmvbqajFNRE,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",François Bazin,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:13208499,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1861.0,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,title,,,,,,,,,,,,,,,Marianne : opéra-comique en un acte,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,2.0,voice,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Marianne. Opéra-comique en un acte,,,Marianne. Opéra-comique en un acte,Marianne. Opéra-comique en un acte.md,bHeBRrdh9d2N,686644898565417769676,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Dr2VYNgaa4XN,opéra comique
