class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_note,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,based_on_label,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/n4RMfkLzdSss,incomplete,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/YEJrXGtRWrUF,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY', 'label': 'arranger'}",Victor Rifaut,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,has_version,,,,,,,,,https://go.wander.be/record/opacap/c:lvd:15416833,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",Edition belge.,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,title,,,,,,,,,,,,,Le pré aux clercs : ouverture arrangée pour le piano avec acct. de violon (ad libitum),,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,instrumentation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Un5sANwGQqnd,1.0,violin,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,instrumentation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,,Only piano part survived,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon,Le pré aux clercs. Ouverture arrangée pour le piano avec acct. de violon.md,FgGSNR8FMujM,282115599862583565457,based_on,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/JEJVgyKnT7Q9,Le pré aux clercs,,
