class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_publication_date,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_note,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,5.0,1837-01-01,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,contributor,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,has_version,,,,,,,,,https://mdz-nbn-resolving.de/details:bsb10359988,1837-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10359988,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10359988/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,has_version,,,,,,,,,https://id.lib.harvard.edu/alma/990053803900203941/catalog,1837-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HzNj4duEtJSX', 'label': 'Harvard University'}",https://archive.org/details/journaldesdemoi26unkngoog,,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]","The publication date listed in Internet Archive is wrong. According to the digitization, it is 1837.",,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,title,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,instrumentation,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1837),,,Journal des demoiselles (1837),Journal des demoiselles (1837).md,npBE6umqCeHL,924691638443463693207,based_on,,,,,,,,,,,,,,,,,,,,,,
