class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,identifier_value,occupation_value,occupation_label,related_to_value
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,date_of_birth,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,described_by_source,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,date_of_death,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,place_of_birth,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,place_of_death,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,sex_or_gender,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,identifier,,,,,,,,,,,,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa,lyricist,
Agent,A. Vialon,,Lyricist,A. Vialon,A. Vialon.md,3vDTjkF6fXYz,39534366538357345037,related_to,,,,,,,,,,,,
