class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_label,contributor_value,contributor_reference_URL,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,language_value,language_label,depicts_value,based_on_value,about_value,about_label
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,identifier,https://anet.be/record/opacap/c:lvd:12971503,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,instance_of,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,part_of,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,2.0,Trésor des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XY6KvveRnQs7,https://anet.be/record/opacap/c:lvd:12971503,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Ernest L’Épine,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bdE6MYos7APn,https://anet.be/record/opacap/c:lvd:12971503,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Pierre Dupont,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,has_version,,,,,,,,,,,,https://anet.be/record/opacap/c:lvd:12971503,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,title,,,,,,,,,,,,,,,,Une orientale: mélodie,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Une orientale: mélodie,,,Une orientale,Une orientale.md,Pg9nouQqwH7x,447160617199110533946,about,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BCSvsKmuf8u3,exoticism
