class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_note,title_value,instrumentation_value,language_value,language_label,depicts_value,about_value,based_on_value,based_on_note,based_on_label
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,25.0,1857-01-01,Trésor des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,contributor,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,has_version,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=19582,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1857-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}, {'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CEnnWH4uZsFX', 'label': 'Amsterdam'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,title,,,,,,,,,,,,,,,Trésor des demoiselles. Vingt-cinquième Année.,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,language,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1857),,1857 issues collected in one volume.,Trésor des demoiselles (1857),Trésor des demoiselles (1857).md,6XQw6vXJb4qt,93188213713395752285,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Reprint of vol. 25 of 1857 probably using the same printing plates of the original Parisian edition.,Journal des demoiselles
