class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_external_source,has_version_note,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_permalink,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,12.0,1844-01-01,Journal des demoiselles,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,has_version,,,,,,,,,https://archive.org/details/journaldesdemois00pari,"The publication date listed in Internet Archive is wrong. According to the digitization, it is 1844.","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/GpjEsTdNqATu', 'label': 'University of Toronto'}",1844-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/1bcgp01/alma991106287992806196,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,title,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,instrumentation,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1844),,,Journal des demoiselles (1844),Journal des demoiselles (1844).md,9g6aJgeHzqPk,158237570030965261440,based_on,,,,,,,,,,,,,,,,,,,,,
