class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,about_label,language_value,based_on_value
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mj6hzfVSHHew,classical dance music,,,,,,,,,,,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,has_version,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=89102,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,title,,,,,,,,,,,,,Pavane. Musique de Mlle H. Wild,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,instrumentation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,about,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/KBhDjToyQTEi,medievalism,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,about,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VnjPFmovn4vN,early music,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,language,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pavane. Musique de Mlle H. Wild,,,Pavane. Musique de Mlle H. Wild,Pavane. Musique de Mlle H. Wild.md,HcCqx9kcHttd,321916489285287101801,based_on,,,,,,,,,,,,,,,,,,,,,
