class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_note,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1867-07,35.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3Y5ZuvTBzed4,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Albert Grisar,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bbp23eR4DnZs,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Élisa Adam-Boisgontier,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,has_version,,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012401879706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1867.0,The libretto is available on pag. 205-208 of the associated periodical.,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,title,,,,,,,,,,,,,,,,Le procès : opérette en un acte paroles de M.me Adam-Boisgontier ; musique de Albert Grisar.,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,,voice,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,depicts,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,about,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bogx9ECia7TM,operetta
Manifestation,Le procès. Opérette en un acte,,,Le procès. Opérette en un acte,Le procès. Opérette en un acte.md,RvidFN62EdQh,493709415376462516743,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/GFGuESLqMKpn,chamber opera
