class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_note,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,1855-09,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/m7feHGwGuNLg,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Marc Constantin,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,has_version,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88856,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",1855-09,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,title,,,,,,,,,,,,,,,La saison des beaux jours : églogue / paroles et musique de Marc Constantin,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La saison des beaux jours. Églogue,,,La saison des beaux jours. Églogue,La saison des beaux jours. Églogue.md,VsU7Hy7ZpQUd,575074656723280133678,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/GYx2286NJMuS,eclogue
