class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_reference_URL,contributor_label,has_version_holding_institution,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,17.0,1849-01-01,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,,1849-01-01,Trésor des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CXpPMVRq6JaP,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",https://anet.be/record/opacap/c:lvd:12971526,Hippolyte Guérin,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5BX54FRugrpJ,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",https://anet.be/record/opacap/c:lvd:12971526,Francesco Masini,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,has_version,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}",https://anet.be/record/opacap/c:lvd:12971526,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",1849-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,title,,,,,,,,,,,,,,,,,Parles bas! Chansonette,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Parles bas! Chansonette,,,Parles bas! Chansonette,Parles bas! Chansonette.md,XRGgDS2XwCto,606861040624398499902,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
