class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_reference_URL,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,3.0,Trésor des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ctiBvfKCHD9m,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",https://anet.be/record/opacap/c:lvd:12971543,Victor Hugo,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/i2BmdHj6e6Q9,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",https://anet.be/record/opacap/c:lvd:12971543,Johannes Verhulst,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,has_version,,,,,,,,,,,https://anet.be/record/opacap/c:lvd:12971543,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,title,,,,,,,,,,,,,,,Espoir en Dieu: chants du crépuscule,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Espoir en Dieu: chants du crépuscule,,,Espoir en Dieu,Espoir en Dieu.md,LXFHHQhGBzwC,382029435231396803773,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
