class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/P3xwqK2mHjC7,schottische,,,,,,,,,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,24.0,1856-03-01,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bqLWPNXVxrhM,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Alexandre Scola,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-03-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,title,,,,,,,,,,,,,,,Ninon. Schottich,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ninon. Schottich,,,Ninon. Schottich,Ninon. Schottich.md,L66sykV3wKxG,372925306253197035914,based_on,,,,,,,,,,,,,,,,,,,,,,
