class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value
Place,Poland,,,Poland,Poland.md,9zb8m5j522fm,164935516820538457720,identifier,http://www.wikidata.org/entity/Q368949,
Place,Poland,,,Poland,Poland.md,9zb8m5j522fm,164935516820538457720,country,,
