class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,based_on_label
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mj6hzfVSHHew,classical dance music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1882-01-01,52.0,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88118,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1884-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,title,,,,,,,,,,,,,,,,Danse villageoise : air de danse antique,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Danse villageoise. air de danse antique,,,Danse villageoise. air de danse antique,Danse villageoise. air de danse antique.md,fuQNwtNrhyNk,782134062029983220385,based_on,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/gviox6r658Y4,Le Lac des fées
