class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,4.0,1836-01-01,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/6wJL3XGBiSDj,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY', 'label': 'arranger'}",Matteo Carcassi,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/d3bH5kZvxqbQ,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",C.A. Boulanger,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,has_version,,,,,,,,,,,https://mdz-nbn-resolving.de/details:bsb10359987,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",1836-01-01,https://www.digitale-sammlungen.de/en/view/bsb10359987,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10359987/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,title,,,,,,,,,,,,,,,,,L'etoile qui brille,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/oVWVztHMuzF4,1.0,guitar,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,L'etoile qui brille,,,L'etoile qui brille,L'etoile qui brille.md,SW5eHBJmrm62,505421626191562801101,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
