class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1896.0,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/eeRfejkq5jtH,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Georges Douay,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ni6ASxqtSvxQ,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",André Lénéka,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991003112529706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ZrEGPsvHE4pG', 'label': 'Biblioteca Civica Girolamo Tartarotti'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1896.0,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,title,,,,,,,,,,,,,,La leçon de Pierre paroles de André Lénéka ; musique de Georges Douay.,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La leçon de Pierre,,,La leçon de Pierre,La leçon de Pierre.md,Uv8NxNAsQurk,555399574065474320958,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song
