class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,member_of_value
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,date_of_birth,,,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,described_by_source,,,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,date_of_death,,,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,place_of_birth,,,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,place_of_death,,,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/6vopxa7szAQ4,female,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,identifier,,,,,,,,,,,,,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,,,,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NTcJNXAMBCUB,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9GekkBKKgjMW', 'label': 'sibling'}",Clément Poncabaré,
Agent,Juline Poncabaré,,,Juline Poncabaré,Juline Poncabaré.md,G39Q2gVfxU7S,289311544829111598615,member_of,,,,,,,,,,,,,,,,
