class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,about_label,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1863-07,Journal des demoiselles,,,,,,,,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ZTBo4cshUnaf,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Wojciech Sowiński,,,,,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991016161619706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/koyArz5BTiZv', 'label': 'Municipal Library of Trento'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1863.0,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,title,,,,,,,,,,,,,,Ancien Noël tiré des chants religieux de la Pologne harmonisés et arrangés par Albert Sowinski.,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,3.0,voice,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,about,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cPayemxUKyHY,folklore,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,about,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9zb8m5j522fm,Poland,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ancien Noël tiré des chants religieux de la Pologne,,,Ancien Noël tiré des chants religieux de la Pologne,Ancien Noël tiré des chants religieux de la Pologne.md,F3ZoWs87ZnXS,268830697995024795138,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/kx9cGBUtqUpw,religious chant
