class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,24.0,1856-11-01,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iqUisMc9DuzZ,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Louis Meyrargues,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9ePx7t3aBbVw,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Désiré-Moyse-Joseph Ikelmer,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-11-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,title,,,,,,,,,,,,,,,"Enfant, sais-tu?",,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,"Enfant, sais-tu?",,,"Enfant, sais-tu?","Enfant, sais-tu?.md",fZckAh7Xyvr6,774971976028895364712,based_on,,,,,,,,,,,,,,,,,,,,,,,
