class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,has_part,,,,,,,,,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,Trésor des demoiselles,,,,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/c5Sr2gJUocsM,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Auguste Richomme,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/AouufLb7bx5R,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Paul Henrion,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,has_version,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,title,,,,,,,,,,,,Dieu le voit: Mélodie,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,instrumentation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,instrumentation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,depicts,,,,,,,,,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,based_on,,,,,,,,,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,about,,,,,,,,,,,,,,,,,,,,
Manifestation,Dieu le voit,,,Dieu le voit,Dieu le voit.md,gRR8aAYdEX54,792637777608565348001,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
