class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,country_label
Place,Ala,,,Ala,Ala.md,TFVypnP45HEt,520781640158431761737,identifier,http://www.wikidata.org/entity/Q243644,,
Place,Ala,,,Ala,Ala.md,TFVypnP45HEt,520781640158431761737,country,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VAvBZjyK4s8B,Italy
