class,description,aliases,label,base_name,filename,id,n_id,property,instance_of_value,subclass_of_value,described_by_source_value,identifier_value,form_of_creative_work_value,form_of_creative_work_label,contributor_value,contributor_role,contributor_label,based_on_value
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,instance_of,,,,,,,,,,
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,subclass_of,,,,,,,,,,
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,described_by_source,,,,,,,,,,
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,identifier,,,,http://www.wikidata.org/entity/Q2918877,,,,,,
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,form_of_creative_work,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz,,,,
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/b8RbfoXTY2fG,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Frédéric Chopin,
Work,,['Grande valse brillante in E-flat major'],Grande valse brillante Op. 18,Grande valse brillante Op. 18,Grande valse brillante Op. 18.md,WSTca29Sohqe,586656634661583666549,based_on,,,,,,,,,,
