class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1833.0,1.0,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jUohUDQ7mo5u,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Abonnés du Journal des Demoiselles,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ffGPdUcNKsB8,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",V. M. Bernhardt,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:12977376,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",1833.0,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,title,,,,,,,,,,,,,,,Les guides de Murat : quadrille brillant,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les guides de Murat. Quadrille brillant,,,Les guides de Murat. Quadrille brillant,Les guides de Murat. Quadrille brillant.md,2v8RvsAdQppS,18866508218487009387,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
