class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,about_label,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1869-09,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/k2g9gFcZkXp4,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Gatien Marcailhou,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012402569706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1869.0,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,title,,,,,,,,,,,,,,Soirées de Grenade : 2me quadrille par G. Marcailhou.,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,about,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BCSvsKmuf8u3,exoticism,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Soirées de Grenade. 2me quadrille,,,Soirées de Grenade. 2me quadrille,Soirées de Grenade. 2me quadrille.md,J8hUwDELTqxH,332597306446014214122,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
