class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,date_of_birth,,,,,,,,,,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,described_by_source,,,,,,,,,,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,date_of_death,,,,,,,,,,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,place_of_birth,,,,,,,,,,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,place_of_death,,,,,,,,,,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q633817,,,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,
Agent,François Bazin,,,François Bazin,François Bazin.md,4cmvbqajFNRE,53859906379110955104,related_to,,,,,,,,,,,,,
