class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/aRNbPTwmsbtP,mazurka,,,,,,,,,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,25.0,1857-01-01,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/inAaJFhDYvcx,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Suzanne Battaille,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/mFC9uMqxqNkK,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Eugène Braulart,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,has_version,,,,,,,,,,,http://id.sbn.it/bid/MUS0256990,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7LoWAKaDbbUb', 'label': 'Biblioteca civica di Verona'}",1857-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Q5THigN5nbNH', 'label': 'Dupuy'}",,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1857-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}",,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,title,,,,,,,,,,,,,,,,Herminie. Mazurka,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Herminie. Mazurka,,,Herminie. Mazurka,Herminie. Mazurka.md,ReUSHfcDfYkz,487826740396054730027,based_on,,,,,,,,,,,,,,,,,,,,,,,
