class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,based_on_label
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WnBSn3vmYiYL,aria,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1882-01-01,50.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=157420,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1882-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,title,,,,,,,,,,,,,,,,Aria Bettina : n° 3 ; Ballata : n° 4 : tiré de l'opéra La jeunesse d'Henri V d' Angleterre,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""",,,"Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre""","Aria Bettina tiré de l'opéra ""La jeunesse d'Henri V d' Angleterre"".md",FqEYDTDQHpZZ,285361847974345653070,about,,,,,,,,,,,,,,,,,,,,,,,,,
