class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_role,contributor_value,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1868-09,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,contributor,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/QHHdDivjLe3k,C.J. de Camaret,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,contributor,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LkygVorE45mg,Henri Varlet,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012400539706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1868.0,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,title,,,,,,,,,,,,,,Le chant des petits oiseaux : mélodie paroles de M.me C. J. de Camaret ; musique de Henri Varlet.,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le chant des petits oiseaux. Mélodie,,,Le chant des petits oiseaux. Mélodie,Le chant des petits oiseaux. Mélodie.md,DvfdF5oG9Fxd,246059561715859309751,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WHdDug4Xwv3G,mélodie
