class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publisher,has_version_place_of_publication,has_version_note,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,Trésor des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/mscfQWWqDRcw,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Antoine Louis Clapisson,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CRKTdiKE8hR7,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Frédéric de Courcy,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,has_version,,,,,,,,,https://anet.be/record/opacdkvc/c:lvd:15287383,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4k5EPcbvKbQE', 'label': 'Joseph Meynne'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,has_version,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=183654,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LJtUagnxHJ9B', 'label': 'Gustave Jacqmain'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/dcRsGEWm6xtE', 'label': 'Ghent'}]","Part of Le Mélomane, journal de chant No. 54, vol. 3",1852-01-01,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,has_version,,,,,,,,,http://ark.bnf.fr/ark:/12148/cb42913217h,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzUK38XpCjqB', 'label': 'Bibliothèque nationale de France'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8HSKpjkZAxrE', 'label': 'Joseph Meissonnier'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,1851-01-01,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,has_version,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,title,,,,,,,,,,,,,,,L'emploi de ma journée,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'emploi de ma journée,,,L'emploi de ma journée,L'emploi de ma journée.md,XwYiW33wT56o,617823919262994529152,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
