class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,identifier_value,occupation_value,occupation_label
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,date_of_birth,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,described_by_source,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,date_of_death,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,place_of_birth,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,place_of_death,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,sex_or_gender,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,identifier,,,,,,,,,,,
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nQTxNAy4WtLK,editor
Agent,Juliette Dillon,['Agathe-Anaïs-Juliette Godillon'],,Juliette Dillon,Juliette Dillon.md,KFESriHnhBta,355595718550337165999,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2tShtkMed9AE,music critic
