class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_note,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,based_on_label,about_value,language_value
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/dkFoW9KcT58b,fantasia,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,9.0,1852-01-01,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,,,Trésor des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/kXFWowftH5UQ,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Friedrich Burgmüller,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,has_version,,,,,,,,,,,https://anet.be/record/opacdkvc/c:lvd:6722999,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/YWSTBQTKP4Bb', 'label': 'Pascal Nacher'}",,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,has_version,,,,,,,,,,,http://ark.bnf.fr/ark:/12148/cb42884316z,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzUK38XpCjqB', 'label': 'Bibliothèque nationale de France'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,Piano four-hands version. Second edition.,1862-01-01,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,title,,,,,,,,,,,,,,,,,Fantaisie sur le Carillonneur,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,based_on,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/af9ZEKkDCPJP,Le Carillonneur de Bruges,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fantaisie sur le Carillonneur,,,Fantaisie sur le Carillonneur,Fantaisie sur le Carillonneur.md,2Qk3wiPP6j39,8231711117617962325,language,,,,,,,,,,,,,,,,,,,,,,,,,
