class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1870-01,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/btBQvoeEkgjR,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Ludwig van Beethoven,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012402829706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1870.0,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,title,,,,,,,,,,,,,,Adagio de la sonate op. 13 Beethoven.,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,based_on,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Adagio de la sonate op. 13 Beethoven,,,Adagio de la sonate op. 13 Beethoven,Adagio de la sonate op. 13 Beethoven.md,Uv94MvZVvgKG,555403852492287936257,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5GQCpP8JBfZH]
